,Year_sold,PARCEL,SequenceNum,SaleDate,SalePrice,PrPerSqFt,p_Cat,SQFT,YEAR,GARAGE,GARAGECAPA,POOLAREA,MAIN,CONTROL,ACTUAL,LASTACTION,Map,GISACRES,LON,LAT,URL,URL2,ZIP
9763,2019,114212160,20192030008,201905,285000,196.5517241,20,1450,1981,1,2,345,217366,217366,234755,20041025,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034_01.PDF,0.58227199,-110.7751457,32.2869251,www.tucsonaz.gov/pro/pdsd/parcel_search/114212160,http://gis.pima.gov/maps/detail.cfm?p=114212160,85749
9764,2019,114212160,20191930463,201905,285000,196.5517241,20,1450,1981,1,2,345,217366,217366,234755,20041025,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034_01.PDF,0.58227199,-110.7751457,32.2869251,www.tucsonaz.gov/pro/pdsd/parcel_search/114212160,http://gis.pima.gov/maps/detail.cfm?p=114212160,85749
9765,2019,114212160,20191930463,201905,285000,196.5517241,20,1450,1981,1,2,345,217366,217366,234755,20041025,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034_01.PDF,0.58227199,-110.7751457,32.2869251,www.tucsonaz.gov/pro/pdsd/parcel_search/114212160,http://gis.pima.gov/maps/detail.cfm?p=114212160,85749
9766,2019,114212160,20191930463,201905,285000,196.5517241,20,1450,1981,1,2,345,217366,217366,234755,20041025,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034_01.PDF,0.58227199,-110.7751457,32.2869251,www.tucsonaz.gov/pro/pdsd/parcel_search/114212160,http://gis.pima.gov/maps/detail.cfm?p=114212160,85749
9767,2019,114212160,20191930463,201905,285000,196.5517241,20,1450,1981,1,2,345,217366,217366,234755,20041025,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034_01.PDF,0.58227199,-110.7751457,32.2869251,www.tucsonaz.gov/pro/pdsd/parcel_search/114212160,http://gis.pima.gov/maps/detail.cfm?p=114212160,85749
9768,2019,114212160,20191930463,201905,285000,196.5517241,20,1450,1981,1,2,345,217366,217366,234755,20041025,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034_01.PDF,0.58227199,-110.7751457,32.2869251,www.tucsonaz.gov/pro/pdsd/parcel_search/114212160,http://gis.pima.gov/maps/detail.cfm?p=114212160,85749
9769,2019,114212140,20191580081,201904,305000,107.8882207,10,2827,1985,1,4,0,314909,314909,340102,20070928,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034.PDF,0.54734802,-110.7744813,32.28727923,www.tucsonaz.gov/pro/pdsd/parcel_search/114212140,http://gis.pima.gov/maps/detail.cfm?p=114212140,85716
9770,2019,114212140,20191580081,201904,305000,107.8882207,10,2827,1985,1,4,0,314909,314909,340102,20070928,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034.PDF,0.54734802,-110.7744813,32.28727923,www.tucsonaz.gov/pro/pdsd/parcel_search/114212140,http://gis.pima.gov/maps/detail.cfm?p=114212140,85716
9771,2019,114212140,20191580081,201904,305000,107.8882207,10,2827,1985,1,4,0,314909,314909,340102,20070928,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034.PDF,0.54734802,-110.7744813,32.28727923,www.tucsonaz.gov/pro/pdsd/parcel_search/114212140,http://gis.pima.gov/maps/detail.cfm?p=114212140,85716
9772,2019,114212140,20191580081,201904,305000,107.8882207,10,2827,1985,1,4,0,314909,314909,340102,20070928,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034.PDF,0.54734802,-110.7744813,32.28727923,www.tucsonaz.gov/pro/pdsd/parcel_search/114212140,http://gis.pima.gov/maps/detail.cfm?p=114212140,85716
9773,2019,114212140,20191580081,201904,305000,107.8882207,10,2827,1985,1,4,0,314909,314909,340102,20070928,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034.PDF,0.54734802,-110.7744813,32.28727923,www.tucsonaz.gov/pro/pdsd/parcel_search/114212140,http://gis.pima.gov/maps/detail.cfm?p=114212140,85716
9774,2019,114212140,20191570686,201904,267500,94.62327556,9,2827,1985,1,4,0,314909,314909,340102,20070928,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034.PDF,0.54734802,-110.7744813,32.28727923,www.tucsonaz.gov/pro/pdsd/parcel_search/114212140,http://gis.pima.gov/maps/detail.cfm?p=114212140,85716
